Keywords,Date and Time,Event ID,Task Category,Level,User,Operational Code,Computer
Audit Success,21/09/2026 00:25:07,4634,Logoff,Information,,Info,API01.contoso.lab,"An account was logged off.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8F0021

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,21/09/2026 00:25:07,4634,Logoff,Information,,Info,API01.contoso.lab,"An account was logged off.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8F000C

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,21/09/2026 00:24:54,4624,Logon,Information,,Info,API01.contoso.lab,"An account was successfully logged on.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Remote Credential Guard:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO.LAB
	Logon ID:		0x8F0021
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{3f0782a2-2a6a-949d-c28c-e63a1c0fd121}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	192.168.101.5
	Source Port:		61632

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,21/09/2026 00:24:54,4672,Special Logon,Information,,Info,API01.contoso.lab,"Special privileges assigned to new logon.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8F0021

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Audit Success,21/09/2026 00:24:53,4624,Logon,Information,,Info,API01.contoso.lab,"An account was successfully logged on.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Remote Credential Guard:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO.LAB
	Logon ID:		0x8F000C
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{3f0782a2-2a6a-949d-c28c-e63a1c0fd121}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	192.168.101.5
	Source Port:		61632

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,21/09/2026 00:24:53,4672,Special Logon,Information,,Info,API01.contoso.lab,"Special privileges assigned to new logon.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8F000C

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Audit Success,21/09/2026 00:24:52,4634,Logoff,Information,,Info,API01.contoso.lab,"An account was logged off.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8B1D57

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,21/09/2026 00:24:52,4634,Logoff,Information,,Info,API01.contoso.lab,"An account was logged off.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8B1CA6

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,21/09/2026 00:24:52,4634,Logoff,Information,,Info,API01.contoso.lab,"An account was logged off.

Subject:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8B1C13

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,21/09/2026 00:24:36,4624,Logon,Information,,Info,API01.contoso.lab,"An account was successfully logged on.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Remote Credential Guard:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		CONTOSO\Administrator
	Account Name:		Administrator
	Account Domain:		CONTOSO
	Logon ID:		0x8EC054
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	PC01
	Source Network Address:	192.168.101.5
	Source Port:		61622

Detailed Authentication Information:
	Logon Process:		NtLmSsp 
	Authentication Package:	NTLM
	Transited Services:	-
	Package Name (NTLM only):	NTLM V2
	Key Length:		128

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
